Compound,n101.cdf.csv,n102.cdf.csv,n104.cdf.csv,n105.CDF.csv,n109.cdf.csv,n111.CDF.csv,n113.cdf.csv,n116.cdf.csv,n117.cdf.csv,n118.cdf.csv,n120.cdf.csv,n121.cdf.csv,n125.cdf.csv,n135.CDF.csv,n14.cdf.csv,n145.cdf.csv,n146.cdf.csv,n151.CDF.csv,n152.CDF.csv,n154.cdf.csv,n160.CDF.csv,n162.cdf.csv,n166.CDF.csv,n168.CDF.csv,n173.CDF.csv,n178.cdf.csv,n183.CDF.csv,n186-2.CDF.csv,n188.CDF.csv,n198.CDF.csv,n199.CDF.csv,n212.CDF.csv,n214.cdf.csv,n216.cdf.csv,n222.CDF.csv,n224.CDF.csv,n229.CDF.csv,n268.cdf.csv,n269.CDF.csv,n270.CDF.csv,n274.cdf.csv,n279.CDF.csv,n31.cdf.csv,n34.cdf.csv,n41.cdf.csv,n49.cdf.csv,n50.cdf.csv,n54.cdf.csv,n55.cdf.csv,n6.cdf.csv,n64.cdf.csv,n67.cdf.csv,n72.cdf.csv,n74.cdf.csv,n80.cdf.csv,n81.cdf.csv,n84.CDF.csv,n86.cdf.csv,n9.cdf.csv,n92.cdf.csv,n97.cdf.csv,x100.cdf.csv,x105.CDF.csv,x106.CDF.csv,x111.CDF.csv,x128-2.CDF.csv,x13.CDF.csv,x133.cdf.csv,x137.CDF.csv,x138.CDF.csv,x14.cdf.csv,x142.CDF.csv,x143.CDF.csv,x146.cdf.csv,x148.CDF.csv,x15.cdf.csv,x150.cdf.csv,x152.cdf.csv,x153.CDF.csv,x157.cdf.csv,x159.CDF.csv,x17.CDF.csv,x171.cdf.csv,x175.cdf.csv,x177.CDF.csv,x18.CDF.csv,x185.cdf.csv,x186.cdf.csv,x187.cdf.csv,x188.CDF.csv,x189.CDF.csv,x190.CDF.csv,x194.cdf.csv,x195.cdf.csv,x196.cdf.csv,x20.CDF.csv,x21.CDF.csv,x210.CDF.csv,x222.cdf.csv,x226.cdf.csv,x227.cdf.csv,x26.cdf.csv,x27.cdf.csv,x35.cdf.csv,x36.CDF.csv,x38.CDF.csv,x40.CDF.csv,x41.cdf.csv,x43.CDF.csv,x44.CDF.csv,x45.CDF.csv,x47.cdf.csv,x49.CDF.csv,x56.CDF.csv,x57.cdf.csv,x59.cdf.csv,x60.cdf.csv,x67.cdf.csv,x68.CDF.csv,x71.cdf.csv,x73.CDF.csv,x82.cdf.csv,x84.cdf.csv,x85.CDF.csv,x86.cdf.csv,x88.cdf.csv,x89.cdf.csv,x90.cdf.csv,x91.CDF.csv,x92.CDF.csv,x93.cdf.csv,x95.cdf.csv,x96.cdf.csv,x97.cdf.csv,x98.CDF.csv,x99.CDF.csv
Fructose,273440.484,235260.296,299034.4119,289260.2732,243931.8644,321416.2223,277126.4302,284724.0337,330469.6661,288841.634,304426.7774,306948.9234,303657.6483,360291.2651,1705164.394,862193.4405,305285.8941,368547.8176,310283.0732,265730.0305,308686.4239,371376.823,577405.2896,340335.0786,296507.7427,299768.9835,241031.423,260078.9931,337449.3473,396079.1564,338067.1467,242359.3426,246727.5015,262144.6756,277374.1576,395874.0662,362475.8359,314705.0455,431287.4231,357115.7442,306464.8635,411998.5387,578094.3829,257855.237,282765.7048,310448.091,303281.442,274333.5578,263037.1728,322222.6216,267746.4689,344575.1112,327076.2228,290904.1739,340784.1307,291353.0903,361682.0533,432766.9151,2763565.932,423638.868,314434.0152,366287.8991,797148.8532,279554.2462,281506.8355,346777.2646,308218.0366,706870.4608,343704.7993,517603.0994,280461.4926,719205.8129,340498.177,402768.0634,412476.4538,401412.2823,256313.591,339437.3818,334967.0477,248093.0216,1007943.047,327713.6625,342843.8348,234835.6897,247423.901,520093.6202,299457.2864,267270.0125,276793.4103,299788.6044,242957.8808,236800.8566,389496.5587,257903.3363,313701.2916,290576.717,285867.5395,270369.3492,284222.6289,284223.5234,493821.4022,294430.1808,383725.8751,280554.6291,230480.7211,304600.7176,358850.3728,228141.3959,326695.872,324292.9176,390116.6284,237151.9068,312789.7284,239101.0515,393768.6369,326866.1529,301524.8132,287398.0329,250250.7401,283474.9826,285669.4942,263887.2436,305293.2081,395421.522,429350.3669,429632.8397,363778.4358,271624.7693,367554.3529,276453.8985,360142.4644,345819.3825,332884.0555,352663.929,265075.4642,309655.5782
Glyceryl Monostearate,424751.8195,239645.3519,302658.7246,328737.0972,254551.8904,237770.3509,368285.713,356943.0602,336964.0085,413426.6334,336264.9014,325092.465,365697.5465,237830.5672,565725.4343,336400.0639,405039.4361,437794.6063,367903.917,434305.8027,357266.8773,379871.8819,279942.2173,273059.2092,512733.602,374450.5909,247338.9852,494334.6116,351702.8996,355103.8604,273927.4917,249079.3315,352483.9503,249596.6684,311053.2973,416359.6196,375148.6753,473077.8917,171713.8096,248696.5648,193166.1241,230505.8895,384415.4558,189206.2433,308032.6904,376629.5014,414475.3553,239017.8216,388129.3027,267066.7593,405892.3759,415812.5198,386081.5979,262115.1823,337014.4005,279188.7828,270790.8438,359260.6343,316947.7731,224950.2825,323507.516,4746772.895,4058542.523,4182455.575,4184483.7,3287296.493,3578134.269,5020002.547,4307506.648,3735789.096,4457287.596,3799008.243,4092527.544,4428722.813,3312835.78,3341471.563,3077440.575,2484958.096,3326433.455,3351029.22,4120167.99,4431683.16,3069844.063,2886004.258,4194802.483,4304529.917,4918593.391,2920611.719,4746961.389,4529810.344,285726.27,3773502.198,4820666.184,2824578.764,5059559.466,4078244.017,3928696.67,3693093.373,3846486.246,4309368.598,3471802.17,2770560.877,4079642.659,4234076.347,3651318.043,3875591.212,4080915.523,2918761.786,3625482.54,3777509.032,3240232.656,1452520.584,4156288.455,3271371.546,3766158.917,3855665.697,3555276.044,4275734.114,3055875.457,4591004.304,3771145.408,2347256.734,2914498.557,5048230.339,5181714.87,4555220.546,4279569.715,3353590.833,3527760.043,3729333.659,5392701.66,4817298.312,4389938.747,3603662.568,3441596.677,3700849.851
Hypoxanthine,351116.7897,306742.5205,320394.3385,332876.6435,330195.4983,324605.0805,268566.0863,390768.3728,317725.5902,353547.6298,384202.2596,333920.1545,411349.1972,864717.99,352743.9628,1147102.884,965452.013,1314222.976,961059.4476,278633.1805,385082.5457,280560.5534,302256.0673,367175.7767,893353.7435,307128.0703,416196.9301,531162.1538,415247.2502,758310.4907,718799.565,313113.6109,312771.7134,282652.486,658423.036,897696.9479,984818.0463,405152.6018,292204.947,351582.6643,297452.0175,307035.6185,343046.1297,310123.9384,368100.1375,319166.403,358959.7692,233766.7322,302772.8725,776677.6001,261512.2353,311874.8022,338932.6077,318109.7993,507158.31,288516.1381,390251.298,427538.5376,658348.0096,387376.6924,303400.9278,323186.1206,339524.9134,255854.6989,363191.3102,324345.6356,324366.9944,311776.0741,293795.5944,282867.0047,290629.5864,360486.7716,292807.5889,217127.4629,350808.7192,221756.2931,248079.339,220753.4738,315863.5335,327194.322,301102.1043,775556.7222,1108621.649,482287.1444,329947.2946,729999.2874,472719.9396,405660.0067,257951.9305,339588.5975,850493.9621,433974.267,300645.0719,254097.7533,649262.7282,1089419.986,299816.7687,315167.2538,340014.0547,249488.6116,342237.1932,589870.1144,897314.5115,265351.8468,417951.6927,255543.6599,267764.1794,225330.4114,277268.7785,342570.4247,278932.3477,223880.2488,261815.6676,300004.6324,265956.8825,270965.3923,336143.0308,300081.7927,285526.174,239380.4047,252939.3872,244709.8391,265522.0627,268846.9284,353293.9,230359.0471,284042.2134,238292.4263,275839.1272,257243.5886,324509.7341,328120.4891,293929.7938,274378.5298,327839.6308,321679.2504
Palmitate glyceride,324484.5109,308918.5656,323522.7595,346371.3485,308920.0115,339396.1695,351937.855,369582.5032,348983.392,297815.58,321534.9194,410502.7571,377703.8303,344600.4406,310374.3456,332718.882,322503.6568,452924.7198,473357.6315,358124.3859,396415.2923,388074.89,332068.6236,291648.2814,413603.3763,320915.418,325100.0072,390936.4151,380015.8109,381612.1831,280240.1823,282232.872,264561.8253,270805.3555,358243.3589,328978.3571,355314.7167,245334.8097,332251.5482,312867.9135,267789.056,318560.1816,301703.4241,310053.4398,323832.3319,359477.6835,296795.724,310022.5473,317335.0739,298132.8394,372854.329,270490.7696,359039.5625,289156.1851,306062.0885,353983.5888,336778.5332,303617.7214,323760.007,282485.4102,364778.8831,6958821.741,6244951.464,6482774.031,6170889.266,4972232.831,5399186.404,714340.7906,6596946.831,5508338.672,6634638.247,6024898.671,6072594.828,6514477.846,5138499.617,4873179.508,4542888.016,3609799.517,5117228.357,5061532.952,6110939.985,6659855.389,4461675.312,4444394.131,6254073.105,6372279.022,7131233.136,4317152.05,7072062.863,6696379.898,356483.0932,5671297.177,7066807.059,4015881.886,7490289.753,6240634.751,5996365.003,5598036.126,5875958.667,6449628.853,5455322.334,4015190.514,5931400.842,5997186.473,5530760.299,5509659.429,5885528.699,4646625.9,5433331.628,5876974.402,5078041.617,2210614.72,6281693.387,4918585.38,5545551.829,5470324.492,5257757.408,6199033.168,4745819.921,6709112.126,5578836.942,3394094.549,4230899.336,7781530.183,7817618.061,7229600.472,6583205.188,4895482.381,5196787.882,5531608.883,2579289.377,7259308.383,6448227.776,5270478.651,5194054.078,5501239.658
Ribitol,400558.6967,312383.7178,358481.0031,431934.5609,375724.5194,347477.0496,291038.3566,389406.4222,343556.6287,414176.0379,417236.7931,367511.7953,448535.7811,1630980.75,401916.6124,1764031.286,1583996.518,2019007.302,1690160.288,476521.612,481690.3822,351030.5055,321247.8136,329905.0009,1849200.795,347265.6491,546232.6392,625604.2091,368005.0082,1296735.485,1228809.713,368227.789,422185.5616,284139.731,1342631.189,1287928.521,125109.3317,529242.0295,357100.1329,455699.5749,302762.8208,541431.8788,383706.8732,305395.1888,380150.1947,305976.4271,374533.1515,254580.8026,303795.445,340079.1134,298713.7985,467021.5345,328105.7094,386025.3712,602796.5682,326319.4342,450025.7687,372579.6052,727590.3948,408603.3159,352359.8365,432156.4334,337634.6613,298579.4653,357380.4159,384784.9652,295107.6277,466922.7401,369139.8837,331288.2492,318123.9052,284350.0893,326638.4018,320874.1769,371447.5162,426071.265,238113.1844,364294.8998,263177.9858,331971.3247,333646.6012,552989.9436,451747.5636,482646.8845,381621.0302,323279.9356,446468.0048,340015.9713,394811.1443,263638.8673,789573.6137,329903.3705,334739.6773,299043.0909,544016.8233,33213.18964,407664.1699,457443.4134,398952.4477,316765.5998,339133.9519,428140.0684,912902.0366,279311.5965,363236.595,324360.7005,466978.0772,203692.0586,331400.1733,387932.2722,297161.8359,212240.1639,352896.9782,329536.1214,240073.5338,373001.7454,344445.9668,328452.8928,372897.4555,391875.8324,313145.6717,211661.2282,317966.5859,397222.4701,287984.5733,212623.5955,205872.7057,302533.4627,322093.2864,314254.8372,324338.0086,308896.5449,382480.1128,371876.8212,335212.2308,352314.6511
9-hexadecenoic acid,323809.6168,328223.9092,285009.667,443075.0031,367625.6578,299042.451,326163.8331,338909.0016,376777.3405,294747.5711,268630.9057,248906.4547,363615.5759,293379.1535,417531.3143,339203.8122,230901.0252,561069.6249,292924.1053,398881.6527,554015.1989,480175.9011,241425.2325,251430.9357,882030.3111,333444.7941,310598.6986,377600.6338,335149.0584,240547.7654,297207.9881,296854.331,342222.0488,296039.7446,331683.9249,330673.0778,355925.1037,383684.9122,480299.2594,348966.2749,294817.2001,424371.1306,462724.163,355446.5132,220967.3323,330468.4521,456451.1809,356765.0232,400068.0047,241009.1975,341336.6776,405652.4131,295397.008,284151.5292,407711.7626,333968.6548,291656.7981,255466.7012,234863.3841,276830.1388,336322.014,339782.4666,429807.9357,652400.7799,235374.7222,272770.0734,324671.0861,367432.1453,442492.8791,362932.4096,286155.2031,303207.5465,353926.0935,296707.285,453422.5698,228110.3692,416328.1113,390076.8243,273480.7728,358877.6248,320307.1698,233444.0444,244683.3606,577883.5439,362160.183,261801.0751,294491.1674,274903.7541,374920.8327,295664.8665,306684.641,249030.8108,361517.0012,345679.166,956938.5931,249918.9628,298369.0577,270220.3174,284587.6988,329131.4007,282976.2196,446478.529,355865.1912,242826.2471,263582.9294,348509.152,290257.0244,604714.2687,292268.5491,532102.33,519480.3821,232951.0078,407467.626,350956.5942,263495.6469,532899.8986,431184.6083,353736.1254,317067.9713,313123.4315,501176.8745,383394.6753,290684.0597,486147.347,380883.0161,269202.6732,297012.8209,347356.9372,298454.5888,262247.0057,626973.0172,409556.5457,291627.033,248539.7493,327853.6159,271279.0967
¦Á-D-galactopyranose,467797.0897,420106.4505,434200.3815,394810.9535,355824.9646,347897.8317,379888.585,507196.327,429159.4075,371857.9725,375711.707,411107.7569,346271.2946,349939.9355,417531.3143,339203.8122,349120.1323,340677.9765,216862.0642,398881.6527,390272.5609,576161.9163,351551.3057,403534.9968,330245.5952,330899.6985,347772.8918,435259.9144,414056.8565,242238.3846,297207.9881,339745.2325,421573.0391,446331.4169,407333.9695,402543.6043,500821.6036,361771.761,363522.4601,430642.0888,347710.138,307133.8067,462724.163,417468.2384,378783.2187,370902.0932,336105.7992,392635.379,437253.9492,316250.7533,326914.0731,389062.0977,380991.5391,408977.8444,355972.5284,383092.0422,405008.2151,485490.7944,406783.7627,623484.6105,554341.1539,273440.7179,342127.132,222075.8824,294961.2689,305728.6157,265330.3111,431652.3214,225180.924,329808.2989,360724.9136,752695.7425,328728.0458,341610.5431,446010.1958,435838.3537,223301.3411,390076.8243,265550.6804,284852.7246,350287.1196,235247.6532,371389.2096,397647.2732,374892.1708,463360.8921,757398.9221,340423.2917,507622.777,324405.064,385493.1781,378794.516,370487.5109,356064.5863,350602.759,266001.402,312992.2419,354956.9312,330425.1175,328162.2083,571522.1154,325185.8501,221004.0656,304373.9486,364324.4851,340109.2167,332274.2406,168497.7753,312687.7752,220498.6334,310729.516,201245.7979,277334.9841,358958.0464,1082273.937,306140.7567,283539.3317,231042.1843,260195.0743,288415.6529,382051.4343,298840.5693,314605.3592,367759.1249,784848.7531,393228.5087,408461.5636,347356.9372,410878.3684,324950.9462,327814.7742,290153.2338,312830.5546,316871.9367,314130.8091,396175.675
Glycerate,579698.2579,458101.7349,525188.7571,3096149.839,399107.0545,386606.353,468462.2395,551205.9781,393795.1573,421162.9293,418085.2303,474258.3685,420204.7702,411492.5486,456090.9583,471263.343,480103.3977,527891.3554,507369.8555,469047.9616,515680.5755,476962.9895,454279.2242,558030.6039,447995.4895,429838.8437,444735.3209,852158.4844,525410.3627,500312.662,414068.2763,375080.1641,565223.8463,744606.1058,487510.7471,423671.5694,703057.2188,651986.9982,445082.113,2255308.378,504779.8085,509093.4567,509986.1324,537338.6208,672864.6417,531849.5807,494980.8302,436548.3869,527187.3649,645882.6252,428068.1746,696446.6758,629224.7344,616523.6171,638571.0172,443029.1425,520645.8312,727944.886,505014.957,597618.2158,739007.9757,493743.6017,469984.4477,432283.7559,457751.42,698034.3606,455141.7559,423546.889,463291.0684,607395.1295,428772.912,682312.1098,443096.4846,606501.9026,421555.9358,856998.0641,439695.0942,451639.4844,478238.0216,522269.9296,581654.2579,487061.768,540044.7921,628755.6338,435180.4643,477352.7945,608660.6751,512677.5055,507066.1603,475718.2476,601456.8805,1957926.169,525650.0375,427831.4119,499565.3945,463289.041,424423.652,403957.5309,513332.1787,791074.5383,598366.2994,631800.6664,648612.5266,491010.3588,570574.4987,432964.9808,628208.3586,344360.5133,437793.4279,446683.8964,430284.0479,454516.7767,613390.934,514498.1617,606708.9924,534217.0499,468134.0689,599959.5111,430199.4347,471230.593,716844.2981,611227.2462,2837268.285,3097303.838,430536.6709,541352.3414,733353.0662,637425.7967,471025.8829,498123.4324,359250.4124,430239.3651,386311.7465,515628.0291,461610.6802,368491.1474
Methylmalonic acid,650328.7524,475337.9805,607130.4095,525095.757,541083.1511,377631.5433,520745.1146,613570.5968,528946.2668,519607.6365,569992.283,553176.7002,506872.526,461653.7888,511039.2493,573240.0341,559793.4134,608791.4415,528452.3913,543677.1187,538648.8303,518738.2433,556235.972,553179.7473,516564.6029,516835.3973,516097.5925,505580.8167,619216.1143,528784.3946,545477.7285,372790.2681,532288.9634,525737.3319,583517.6929,534477.5542,529503.2013,378290.2092,392830.6294,548671.0219,446237.9473,534615.8968,408236.2848,548451.699,510198.487,532722.7254,518859.0617,519362.109,471980.2992,532768.0568,539881.714,565303.8955,527987.4624,527785.1278,519098.192,582895.3148,157514.0919,511636.6683,490490.0314,543116.5713,513455.5703,548324.7509,411185.9989,507915.6631,517092.006,383882.3288,492008.1617,607496.4881,551328.2029,387452.4421,471569.1839,411647.8093,534129.778,530726.9801,402446.929,536022.5451,473679.9914,477142.8907,417806.5543,542778.0916,380561.2752,566603.1189,490806.2383,501542.6921,566344.3722,533739.0242,579271.7862,517692.4303,534201.786,573269.5689,355001.765,387327.215,548177.9057,537376.6015,527206.1615,530955.9884,366746.8359,452170.3692,528678.3102,542106.822,526376.6277,493347.8862,525232.7802,497241.713,428746.6259,522288.1124,574259.1355,516879.7563,343532.554,409100.8249,394312.5144,289770.8732,385715.6707,497872.5245,497320.6699,527718.877,516406.4632,507134.9095,399677.8296,530110.9216,372849.971,384858.8672,536211.2333,576587.496,590302.0316,515713.5765,502997.6684,487955.9392,493257.1865,545661.4811,578349.7706,559370.9956,557196.3629,558902.7125,417421.6805,406456.16
Tryptophan,546248.5216,574022.7062,4478486.685,554520.2997,375036.9061,636341.6808,546375.3623,3752859.574,690310.7674,496543.0734,691763.1516,4038466.31,3961297.852,1080619.335,661266.465,493032.6931,557016.3799,5995305.28,603579.4941,4011135.271,172362.8189,3013631.255,502618.0608,504793.7543,1145958.019,4997377.782,563237.9372,461718.953,6040676.996,383262.2349,936436.1799,438832.3659,3600837.931,1074848.818,1625290.319,897290.2272,495650.4314,3333711.373,839324.4423,1207802.477,411634.4453,1178333.838,452094.3919,1440467.396,647702.1735,620192.9744,523867.7345,620888.3563,463721.4766,668958.6505,997085.4839,4365450.764,540577.9485,3368086.818,3224629.208,614905.9363,4068187.896,1001838.984,585269.7362,1143402.987,768918.4192,595057.884,1409664.558,856254.346,976880.7638,355539.7156,671885.882,664381.9617,487631.6916,883642.3591,475881.8576,1138174.417,443602.7127,894550.8593,693264.3888,413920.004,871913.1513,432959.4369,1447401.198,1198640.469,989095.9989,625849.0114,3340551.1,4154190.828,629773.9776,474902.493,262761.8264,302284.9986,4708914.203,586308.2659,945906.1896,263891.9422,1390537.108,410427.524,4735027.349,578901.5669,1327525.403,397636.0189,3064404.085,3955232.705,3008523.683,271764.5989,572451.056,1535108.289,1085228.349,361646.1915,537339.2275,993098.6315,1347253.53,563471.1403,1269979.849,2079746.709,578193.5169,968691.0986,403846.5241,1027441.407,500337.7466,293383.6366,1058544.852,572448.0925,1085833.983,2533503.031,618799.3324,615018.7514,589010.1949,353070.2899,399097.898,392659.3914,756381.3504,579481.6293,634721.0958,4117793.593,5486259.767,563187.1958,1184658.937,1187679.644
Lactic acid,70738220.95,596629.7859,76670039.19,86803698.13,292116.5023,59667664.39,85072656.75,84226550.22,94985154.01,316888.6592,108684002.1,94840536.19,2219230.97,1334661.328,1154960.478,122037962.3,105390858.3,145074691.5,48084802.34,75548809.49,72364681.31,713913.0667,78554720.18,59805285.2,520215.3292,49789046.87,100012.5575,45895742,88995723.36,111584701.8,96926140.66,46142115.62,52215631.72,54264608.54,89006833.23,132544056.7,726083.5966,57718297.42,67551982.23,121001966.3,98690414.44,76008001.06,84003044.17,49668611.11,76885059.89,80127770.88,81790733.04,92076899.37,70242503.24,7445.348566,275814.8084,789992.7026,107360229.8,84930076.74,122474513.6,82561287.06,95876921.62,82129749.59,109086671.4,304731.4716,329225.1195,102711510.3,100352712.9,669941.528,118089262.1,110783394.1,100690494.7,135276767.5,129245250.4,1277368.146,327116.4755,115213370.6,714861.9572,100308467.2,108341719.4,126974473.2,149932835.1,90017785.15,77406693.95,128377449.3,85597970.82,140946481.7,339485.3856,641774.1201,85680834.48,121309514.1,94227098.52,302456.6326,333897.049,815062.183,86419359.98,1232921.612,106365882.5,655462.8805,89804294.06,95164580.61,1342531.696,84905078.44,74395.50824,7832549.988,87524016.91,99065667.62,126047133.6,86482364.37,81511747.38,799045.1208,136152419.1,97603466.34,117863674.8,1026255.777,1255358.575,49441000.6,101883188.5,88492625.16,108175172.7,108349994.2,133588179.7,109636402.7,89656023.49,98444325.1,1383859.951,782827.7347,109934392.7,118155943.4,1045319.581,79241271.91,104258555.1,66728552.36,93364540.62,559634.1992,135238105.8,121396277.1,128962115.7,112240163.6,89496212.26,111923503.6
Inositol,621921.1297,615640.7958,653741.7091,489920.1791,578012.1015,685185.1301,582055.68,550271.7146,470204.3416,593302.6901,663597.7682,636363.1895,625598.3971,579502.1818,557496.7089,712711.9443,596616.7504,807955.3188,592402.9851,673167.4515,758982.0595,619438.7774,581764.5929,615788.6084,612555.9866,680304.7169,536844.5313,603448.1325,619999.2888,524443.9121,549674.4737,420375.7584,517279.1175,641932.1745,721386.4349,615939.5345,567678.3975,795461.6041,540105.5625,1077297.204,516001.9603,561665.4452,710019.9148,609532.2502,595591.4291,543559.1005,518656.1612,626434.1183,587022.5053,582799.4971,621538.2914,707804.8663,560628.7755,665212.3429,739620.3271,582141.8996,528446.2618,549730.9169,658569.3143,811016.5276,730561.2716,557083.0887,613056.6097,451015.6834,593194.7588,610159.6788,475836.5332,515042.8535,516209.5477,520427.5965,621698.4778,806649.2457,489742.6912,760010.9317,846712.954,628522.2702,533948.8315,428968.3082,742384.3279,497627.6631,442420.7639,559906.6296,613257.7806,487202.9825,445304.3025,661835.3063,983783.1356,680079.7693,773433.1897,530245.788,624978.0143,527204.0265,656431.6958,496046.7915,502999.794,497777.6699,769052.0855,453231.2476,586053.1997,543223.6553,618883.0487,559683.1382,622390.5958,442933.5444,670505.5983,575647.4785,757287.7972,708973.6645,578979.5253,532077.7308,501329.3178,328120.9003,667119.1421,923088.5705,503467.2354,487144.4632,821284.4185,590600.9922,546440.3061,481940.3841,564565.778,463497.443,486581.319,573178.7802,630394.2624,572393.5958,708525.6086,440029.9503,486816.3357,651485.9465,624662.2018,572088.6369,499265.4344,523911.5305,582638.8678,462505.1987
